ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
Fri062613,-0.03,27,0.9,4.1192,0.0389912525,0.830177949041066
Fri063410,-0.029,27,0.9,4.1472,0.0382469098,0.847255369386835
Fri064213,-0.028,27,0.9,4.1728,0.0374468519,0.856849490287516
Fri065003,-0.027,27,0.9,4.2064,0.0364957727,0.836741773389561
Fri065757,-0.026,27,0.9,4.2264,0.035604475,0.839291568470022
Fri070558,-0.025,27,0.9,4.2568,0.0348027157,0.850827870505584
Fri071400,-0.024,27,0.9,4.3,0.0341310854,0.87300027427787
Fri072204,-0.023,27,0.9,4.3136,0.0331745731,0.869983839906712
Fri073009,-0.022,27,0.9,4.3376,0.0322889428,0.870631557524853
Fri073815,-0.021,27,0.9,4.3728,0.0314811742,0.880503318929877
Fri074625,-0.02,27,0.9,4.4312,0.0308959287,0.917276008887189
Fri075441,-0.019,27,0.9,4.4528,0.0299530687,0.90763897635456
Fri080301,-0.018,27,0.9,4.492,0.0290796711,0.897864487064396
Fri081125,-0.017,27,0.9,4.5656,0.028298636,0.882801036427585
Fri081953,-0.016,27,0.9,4.608,0.0278038118,0.966344320752706
Fri082828,-0.015,27,0.9,4.68,0.0268878354,0.920787556259307
Fri083712,-0.014,27,0.9,4.7192,0.0260568529,0.923138874288483
Fri084558,-0.013,27,0.9,4.7744,0.0253270836,0.934480048193398
Fri085451,-0.012,27,0.9,4.8544,0.0247428013,0.969411342147649
Fri090353,-0.011,27,0.9,4.9312,0.0241384115,0.997853696470789
Fri091303,-0.01,27,0.9,4.9872,0.0233851813,0.987122118628826
Fri092219,-0.009,27,0.9,5.0624,0.0227356551,0.971347233838887
Fri093147,-0.008,27,0.9,5.1504,0.0221957933,0.956809807174621
Fri094122,-0.007,27,0.9,5.2624,0.0218247117,1.00437617475282
Fri095108,-0.006,27,0.9,5.4312,0.0214180871,0.992514149134493
Fri100110,-0.005,27,0.9,5.6568,0.020912729,0.808233315904325
Fri101139,-0.004,27,0.9,5.824,0.0205163349,0.770098730573485
Fri102221,-0.003,27,0.9,6.048,0.0202212805,0.691734809719217
Fri103334,-0.002,27,0.9,Inf,0.0200181526,NaN
Fri104513,-0.001,27,0.9,Inf,0.0199028446,NaN
Fri105705,-0.05,27,0.95,4.0785,0.0618641979,0.864986822391172
Fri110148,-0.04,27,0.95,4.198,0.052545473,0.890033611020863
Fri110632,-0.03,27,0.95,4.3904,0.0436085842,0.932130316436713
Fri111430,-0.029,27,0.95,4.4296,0.0425880516,0.910550998850817
Fri112232,-0.028,27,0.95,4.4456,0.0416387653,0.915944137114356
Fri113035,-0.027,27,0.95,4.4752,0.040793224,0.928190852238471
Fri113843,-0.026,27,0.95,4.512,0.0400337731,0.945253419835477
Fri114645,-0.025,27,0.95,4.5216,0.0390095013,0.944011728109179
Fri115445,-0.024,27,0.95,4.5416,0.0380526764,0.944292014862455
Fri120247,-0.023,27,0.95,4.5744,0.0371799268,0.950402641809087
Fri121054,-0.022,27,0.95,4.628,0.0365452374,0.982461302883132
